price,bedrooms,bathrooms,livingArea,lotSize,yearBuilt,propertyTaxRate,taxAssessedValue,zestimate,rentZestimate,latitude,longitude,resoFacts/stories,resoFacts/hasGarage,resoFacts/hasHeating,resoFacts/hasCooling,resoFacts/hasFireplace,resoFacts/isNewConstruction,homeType
455000,5.0,3.0,2182.0,5662.0,1999.0,1.12,355310.0,485841.0,2445.0,45.46427917,-122.4373703,2.0,False,True,True,True,False,SINGLE_FAMILY
355000,2.0,1.0,777.0,7405.0,1956.0,1.12,261290.0,370247.0,1599.0,45.52262115,-122.4692688,1.0,False,True,,,False,SINGLE_FAMILY
420000,4.0,2.0,1810.0,7200.0,1974.0,1.12,360790.0,436229.0,2150.0,45.51268387,-122.4492264,,False,True,True,True,,SINGLE_FAMILY
435000,4.0,3.0,2980.0,6969.0,1973.0,1.12,344040.0,452370.0,2150.0,45.52777481,-122.4929962,2.0,False,True,True,True,False,SINGLE_FAMILY
309000,2.0,3.0,1122.0,2178.0,2007.0,1.12,242970.0,321339.0,1623.0,45.52134705,-122.4663391,3.0,False,True,True,True,False,SINGLE_FAMILY
340100,3.0,1.0,912.0,7405.0,1962.0,1.12,279950.0,353681.0,1750.0,45.52555847,-122.4671478,1.0,False,True,True,False,False,SINGLE_FAMILY
545000,,3.0,2583.0,5002.0,2015.0,1.12,468750.0,566998.0,2200.0,45.52279282,-122.4377213,,False,True,False,True,,SINGLE_FAMILY
415000,3.0,2.0,1800.0,8276.0,1957.0,1.12,364770.0,431929.0,2150.0,45.52729034,-122.493866,1.0,False,True,True,True,False,SINGLE_FAMILY
610000,5.0,5.0,4411.0,5227.0,2008.0,1.12,581170.0,650415.0,1799.0,45.47608185,-122.4284821,3.0,False,True,True,True,False,SINGLE_FAMILY
629900,4.0,2.0,2106.0,6969.0,2021.0,1.12,155000.0,668484.0,,45.49983978,-122.3894653,1.0,False,True,True,True,True,SINGLE_FAMILY
325000,3.0,1.0,1032.0,7300.0,1969.0,1.12,268650.0,339099.0,1895.0,45.52961349,-122.4780731,,False,True,False,,,SINGLE_FAMILY
325000,3.0,1.0,960.0,8276.0,1958.0,1.12,279400.0,339943.0,1800.0,45.52425766,-122.4738312,1.0,False,True,True,True,False,SINGLE_FAMILY
395000,4.0,2.0,1316.0,8276.0,1971.0,1.12,276410.0,413125.0,1895.0,45.51330185,-122.4233322,2.0,False,True,True,,False,SINGLE_FAMILY
378500,3.0,2.0,1156.0,6969.0,1969.0,1.12,277760.0,396200.0,1895.0,45.51490402,-122.4465103,1.0,False,True,True,False,False,SINGLE_FAMILY
140000,1.0,1.0,612.0,710462.0,1969.0,1.12,124290.0,165282.0,1095.0,45.51039886,-122.4137039,,False,True,False,,,CONDO
300000,4.0,2.0,1888.0,7405.0,1961.0,1.12,344670.0,313897.0,1999.0,45.52353287,-122.4796448,2.0,False,True,True,True,False,SINGLE_FAMILY
590000,8.0,4.0,3300.0,21780.0,1997.0,1.12,647690.0,620640.0,1695.0,45.52558517,-122.4648438,2.0,False,True,True,True,False,SINGLE_FAMILY
415000,5.0,3.0,2160.0,9583.0,1956.0,1.12,379230.0,436390.0,2200.0,45.51437759,-122.4831848,2.0,False,True,True,True,False,SINGLE_FAMILY
387550,4.0,2.0,2004.0,7405.0,1972.0,1.12,298540.0,407676.0,1895.0,45.51643753,-122.4473343,1.0,False,True,True,True,False,SINGLE_FAMILY
187500,4.0,2.0,1474.0,8900.0,1966.0,1.12,334090.0,422059.0,1929.0,45.53158951,-122.4589615,,False,True,False,True,,SINGLE_FAMILY
459000,4.0,3.0,2548.0,6534.0,2006.0,1.12,430500.0,488360.0,2200.0,45.52241516,-122.438385,2.0,False,True,True,True,False,SINGLE_FAMILY
349900,3.0,1.0,988.0,7405.0,1964.0,1.12,282450.0,373617.0,1895.0,45.53101349,-122.464241,1.0,False,True,,True,False,SINGLE_FAMILY
396000,4.0,2.0,1910.0,10454.0,1972.0,1.12,391630.0,422236.0,2195.0,45.51237869,-122.4136887,1.0,False,True,True,,False,SINGLE_FAMILY
283000,4.0,2.0,1488.0,7200.0,1966.0,1.12,301610.0,301858.0,1900.0,45.51645279,-122.4355927,,False,True,False,True,,SINGLE_FAMILY
362000,3.0,2.0,1664.0,8712.0,1973.0,1.12,330020.0,386537.0,1895.0,45.51255798,-122.4131088,1.0,False,True,,,False,SINGLE_FAMILY
345000,4.0,2.0,1424.0,8295.0,1972.0,1.12,347250.0,369912.0,1929.0,45.51283264,-122.4095917,,False,True,False,True,,SINGLE_FAMILY
289900,3.0,2.0,1901.0,7405.0,1958.0,1.12,297990.0,309772.0,1895.0,45.5112114,-122.4760895,2.0,False,True,True,True,False,SINGLE_FAMILY
508000,4.0,3.0,2858.0,6534.0,2003.0,1.12,501820.0,543017.0,1950.0,45.51107025,-122.4515305,2.0,False,True,True,True,False,SINGLE_FAMILY
370000,3.0,2.0,1647.0,8712.0,1976.0,1.12,365000.0,397419.0,2150.0,45.5177803,-122.4172058,1.0,False,True,,True,False,SINGLE_FAMILY
330000,3.0,4.0,1775.0,2613.0,2006.0,1.12,279630.0,348026.0,1995.0,45.50971603,-122.4428406,3.0,False,True,True,True,False,CONDO
380000,3.0,2.0,1480.0,7405.0,1970.0,1.12,315710.0,408445.0,1900.0,45.51166916,-122.4244003,1.0,False,True,True,True,False,SINGLE_FAMILY
343000,3.0,1.0,912.0,9147.0,1956.0,1.12,280520.0,369314.0,1815.0,45.52931213,-122.4665985,1.0,False,True,,True,False,SINGLE_FAMILY
282000,3.0,3.0,1236.0,2178.0,2004.0,1.12,239470.0,303634.0,1765.0,45.52080536,-122.4854279,2.0,False,True,True,True,False,CONDO
330000,3.0,2.0,1272.0,10018.0,1948.0,1.12,268060.0,355932.0,1850.0,45.52496338,-122.4656982,1.0,False,True,,True,False,SINGLE_FAMILY
391000,4.0,2.0,1736.0,6969.0,1974.0,1.12,332880.0,422018.0,2095.0,45.51039124,-122.4178238,1.0,False,True,True,False,False,SINGLE_FAMILY
330000,3.0,2.0,1568.0,15245.0,1996.0,1.12,279900.0,356302.0,1650.0,45.51057053,-122.4817505,1.0,False,True,True,False,False,SINGLE_FAMILY
290000,2.0,2.0,1239.0,,1995.0,1.12,188280.0,313873.0,1695.0,45.53467941,-122.4908218,2.0,True,True,True,,False,CONDO
378500,3.0,3.0,1788.0,14810.0,1973.0,1.12,430360.0,409375.0,2200.0,45.51182556,-122.4038696,1.0,False,True,,True,False,SINGLE_FAMILY
300000,,1.0,1224.0,8160.0,1956.0,1.12,257930.0,368833.0,1695.0,45.51888275,-122.4782562,,False,True,False,,,SINGLE_FAMILY
157000,1.0,1.0,612.0,,1969.0,1.12,124290.0,170219.0,1295.0,45.51039505,-122.4133987,1.0,False,True,,,False,CONDO
366500,4.0,2.0,1445.0,9147.0,1956.0,1.12,291970.0,397358.0,1875.0,45.51745224,-122.4773483,1.0,False,True,True,False,False,SINGLE_FAMILY
335000,3.0,2.0,1014.0,6969.0,1958.0,1.12,245030.0,378982.0,1875.0,45.52155304,-122.4909058,1.0,False,True,,True,False,SINGLE_FAMILY
374900,3.0,2.0,1903.0,7840.0,1971.0,1.12,372280.0,406747.0,2200.0,45.52971268,-122.4635544,1.0,False,True,True,True,False,SINGLE_FAMILY
540000,3.0,4.0,2736.0,8276.0,2015.0,1.12,491650.0,586649.0,1850.0,45.52225113,-122.4378357,2.0,False,True,True,True,False,SINGLE_FAMILY
427000,3.0,3.0,1835.0,7405.0,1992.0,1.12,360130.0,463887.0,2295.0,45.51455688,-122.4249268,2.0,False,True,True,False,False,SINGLE_FAMILY
267000,2.0,1.5,1200.0,1500.0,2007.0,1.12,,290249.0,1695.0,45.5583992,-122.4603271,,False,True,True,,,SINGLE_FAMILY
180000,2.0,1.0,820.0,,2007.0,1.12,150150.0,197043.0,1345.0,45.52056885,-122.4973373,1.0,True,True,True,,False,CONDO
386000,4.0,2.0,1972.0,11325.0,1948.0,1.12,281410.0,419744.0,1765.0,45.5102005,-122.4728775,2.0,False,True,True,,False,SINGLE_FAMILY
490000,3.0,3.0,2011.0,5662.0,2002.0,1.12,381200.0,532667.0,2295.0,45.51040649,-122.4513626,2.0,False,True,,True,False,SINGLE_FAMILY
409950,4.0,4.0,2152.0,8074.0,1998.0,1.12,384680.0,,1550.0,45.51952744,-122.4208832,,False,True,False,,,APARTMENT
410950,4.0,4.0,2152.0,8218.0,1997.0,1.12,384680.0,,1550.0,45.51952744,-122.4204941,,False,True,False,,,APARTMENT
408950,4.0,4.0,2152.0,8723.0,1997.0,1.12,384680.0,,1495.0,45.51929474,-122.4204941,,False,True,False,,,APARTMENT
408000,5.0,2.0,1717.0,7405.0,1966.0,1.12,342690.0,443527.0,2111.0,45.51517487,-122.4459534,1.0,False,True,True,True,False,SINGLE_FAMILY
470000,4.0,3.0,2726.0,6534.0,2002.0,1.12,409160.0,506830.0,2195.0,45.52930832,-122.491333,2.0,False,True,True,True,False,SINGLE_FAMILY
385000,4.0,3.0,1948.0,6970.0,1980.0,1.12,347960.0,418657.0,2200.0,45.52907562,-122.4581985,,True,True,True,False,False,SINGLE_FAMILY
347900,3.0,1.0,1410.0,10018.0,1958.0,1.12,281080.0,378314.0,1800.0,45.52336121,-122.4889755,1.0,False,True,True,True,False,SINGLE_FAMILY
469900,4.0,3.0,2326.0,7405.0,1988.0,1.12,433500.0,511141.0,2150.0,45.53873444,-122.4914856,2.0,False,True,True,True,False,SINGLE_FAMILY
360000,4.0,2.0,2143.0,6969.0,1973.0,1.12,341270.0,392341.0,2150.0,45.53141403,-122.4624634,2.0,False,True,,True,False,SINGLE_FAMILY
349000,4.0,2.0,1388.0,9147.0,1984.0,1.12,288620.0,380353.0,1925.0,45.52502823,-122.4874268,2.0,False,True,,True,False,SINGLE_FAMILY
397500,3.0,3.0,1830.0,2613.0,2015.0,1.12,344710.0,433210.0,2150.0,45.53223038,-122.4708939,2.0,False,True,True,True,False,SINGLE_FAMILY
203000,2.0,2.0,952.0,710462.0,1969.0,1.12,158590.0,221517.0,1375.0,45.51039886,-122.4129333,,False,True,True,,,CONDO
340000,3.0,2.0,981.0,7840.0,1966.0,1.12,275650.0,371250.0,1750.0,45.52434158,-122.4596481,1.0,False,True,True,True,False,SINGLE_FAMILY
399900,3.0,3.0,1948.0,6969.0,1987.0,1.12,330400.0,437625.0,2250.0,45.51433563,-122.4357986,2.0,False,True,,True,False,SINGLE_FAMILY
190000,2.0,1.0,1000.0,7840.0,1942.0,1.12,269530.0,324086.0,1595.0,45.52214813,-122.4348221,,False,True,False,,,SINGLE_FAMILY
